ID_REF,GSM2107242,GSM2107243,GSM2107244,GSM2107245,GSM2107246,GSM2107247,GSM2107248,GSM2107249,GSM2107250,GSM2107251,GSM2107252,GSM2107253,GSM2107254,GSM2107255,GSM2107256,GSM2107257
A2M,3005.36,3607.37,5770.82,7605.96,10089.03,5047.18,2802.44,4308.98,3889.78,3318.6,4124.7,853.97,1317.04,618.27,2607.28,2120.98
ABCB1,178.76,197.38,165.47,179.91,161.23,142.57,175.56,331.92,405.13,351.16,447.61,16.32,39.91,44.85,13.98,45.15
ABL1,41.38,63.08,39.48,34.42,61.04,38.0,25.67,35.09,61.73,46.8,27.99,95.34,87.45,163.49,88.25,176.06
ADA,4.81,15.07,9.2,5.73,6.58,20.69,5.69,21.7,18.25,20.41,25.1,269.19,18.3,5.3,40.8,18.7
ADORA2A,10.74,15.72,11.15,20.07,5.49,12.76,12.35,32.11,16.47,16.15,32.31,1.0,3.17,11.89,46.99,18.7
AICDA,1.0,1.0,1.0,1.0,3.32,1.22,1.11,1.0,1.0,1.0,1.0,5.27,2.16,6.59,1.6,18.7
AIRE,8.76,1.0,1.0,2.66,1.09,1.0,1.11,1.61,1.39,1.0,1.44,1.0,2.16,6.59,7.79,18.7
AKT3,70.04,54.65,45.34,66.18,62.12,52.42,51.21,112.46,97.66,59.99,159.21,84.81,52.88,539.18,224.41,419.17
ALCAM,75.97,125.37,101.99,119.46,152.52,142.57,100.06,88.65,193.5,171.1,97.2,53.2,70.16,110.76,9.85,18.7
AMBP,23614.83,34300.5,29678.73,25231.56,33541.77,26524.78,20673.23,11229.03,22114.73,18159.65,17020.48,16.32,3.17,5.3,9.85,18.7
AMICA1,59.17,77.36,71.71,83.6,69.75,117.32,65.64,254.55,177.97,106.39,278.9,116.42,212.79,44.85,181.09,194.76
ANP32B,183.7,201.92,203.57,201.42,209.15,237.04,171.12,189.83,285.78,228.57,268.8,211.24,189.02,150.31,125.39,138.65
ANXA1,78.93,82.55,122.5,74.38,62.12,134.63,53.43,231.49,299.54,131.08,499.52,190.17,15683.17,730.32,630.84,3897.6
APOE,19322.55,16736.73,20619.74,16270.71,17434.69,12040.99,17694.39,9198.84,13087.22,9018.51,7797.47,553.68,98.26,71.21,676.23,2438.9
APP,842.91,891.58,1096.28,823.33,986.73,780.07,846.16,851.18,1281.4,944.14,810.99,975.13,1228.44,993.96,1497.34,1821.76
ARG1,2289.81,3062.39,2466.6,1854.05,2829.41,2193.55,2317.25,1190.41,877.65,1597.14,1183.03,5.27,2.16,5.3,3.66,18.7
ARG2,1.0,8.59,1.0,1.02,1.09,1.0,1.11,1.0,1.39,2.95,1.44,5.27,5.33,361.22,2.06,18.7
ATF1,65.1,75.41,45.34,44.66,64.3,48.81,43.44,35.83,62.61,52.76,33.76,42.66,59.36,38.26,42.86,63.85
ATF2,85.85,135.75,107.85,118.43,99.15,120.93,120.04,105.02,132.27,109.8,156.33,105.88,106.9,90.99,108.88,138.65
ATG10,6.79,9.23,13.11,8.8,17.47,17.08,12.35,9.05,19.13,12.32,6.36,5.27,13.98,25.08,42.86,18.7
ATG12,1.0,1.0,1.0,2.66,1.09,2.66,1.0,1.0,4.94,1.25,1.44,5.27,7.5,6.59,5.73,18.7
ATG16L1,60.16,61.14,75.62,52.86,59.95,48.09,73.41,78.98,75.04,58.29,58.27,111.15,130.67,110.76,46.99,7.75
ATG5,65.1,72.81,69.76,50.81,78.46,74.78,61.2,53.69,76.81,74.47,51.06,53.2,63.68,84.39,42.86,101.25
ATG7,32.48,44.92,38.5,49.79,37.08,51.7,39.0,65.59,65.28,45.52,65.48,16.32,68.0,5.3,61.43,45.15
ATM,1.0,1.0,1.0,1.02,1.0,1.22,1.25,1.0,5.82,1.0,1.0,5.27,5.33,6.59,5.73,18.7
AXL,158.0,150.02,156.68,103.06,149.25,193.05,177.78,156.35,156.23,144.28,175.07,116.42,115.54,196.44,131.57,868.0
BAGE,3.82,2.75,1.0,5.73,2.23,1.94,1.0,4.59,4.94,1.0,3.48,1.0,2.16,11.89,3.66,18.7
BATF,1.85,3.4,2.36,2.66,6.58,14.2,1.0,12.77,14.25,2.1,17.89,26.86,24.78,18.48,3.66,18.7
BAX,50.27,66.33,38.5,66.18,53.41,79.82,67.86,104.27,118.07,92.77,89.99,126.95,176.05,143.71,61.43,82.55
BCL10,111.55,103.96,117.62,90.77,119.84,128.86,97.84,147.42,116.74,104.69,137.58,411.44,554.22,163.49,141.89,437.87
BCL2,23.59,15.72,24.83,25.2,14.21,31.51,22.34,99.81,69.27,37.43,94.32,63.73,35.59,407.36,75.87,250.86
BCL2L1,280.55,255.77,190.87,241.38,232.02,176.46,292.14,222.56,347.01,257.94,258.71,374.56,411.6,203.03,212.03,194.76
BCL6,125.39,98.12,183.06,136.88,193.9,104.34,125.6,119.9,145.14,145.98,71.25,63.73,130.67,163.49,242.98,737.09
BID,2.83,2.75,10.18,3.68,2.23,7.71,1.0,5.33,8.93,19.55,1.44,1.0,1.01,6.59,13.98,18.7
BIRC5,25.57,16.37,12.13,13.93,17.47,5.55,7.91,11.28,19.58,16.15,22.22,74.27,163.09,11.89,18.1,26.45
BLK,8.76,1.45,5.29,1.63,1.14,11.31,2.36,14.26,12.48,6.36,19.34,11.05,7.5,18.48,2.06,7.75
BLNK,34.46,41.02,18.97,49.79,45.79,45.21,26.78,41.04,55.96,39.99,23.66,11.05,37.75,5.3,11.91,18.7
BMI1,57.19,78.01,60.97,50.81,68.66,81.99,57.87,67.82,96.78,80.43,105.86,69.0,24.78,44.85,61.43,119.95
BST1,7.78,13.78,20.92,19.05,7.67,13.48,3.47,14.26,34.66,16.15,17.89,16.32,16.14,6.59,22.23,18.7
BST2,217.3,240.2,244.59,137.9,244.0,352.42,239.95,258.27,357.22,492.92,359.65,16.32,33.43,58.03,90.31,45.15
BTK,15.68,18.97,14.08,21.1,13.12,30.06,19.01,35.09,26.23,18.7,36.64,5.78,16.14,5.3,11.91,26.45
BTLA,11.73,15.72,5.29,15.98,1.09,22.85,12.35,41.78,29.34,20.41,62.6,5.27,7.5,6.59,24.29,45.15
C1QA,407.06,331.03,336.4,243.43,444.38,604.83,440.91,386.97,394.49,427.79,374.07,153.29,39.91,44.85,238.86,475.28
C1QB,872.56,652.82,782.76,438.1,1035.74,1295.7,1052.67,850.44,914.48,973.09,962.4,279.73,100.42,44.85,321.38,1036.31
C1QBP,305.26,425.75,315.89,284.41,323.5,323.58,293.25,180.9,281.35,314.13,222.66,311.34,450.49,110.76,346.14,45.15
C1R,6901.32,6230.39,6479.91,5984.07,8386.84,6283.97,6170.98,3514.46,5346.82,4635.25,3710.85,248.12,260.33,196.44,533.88,2663.32
C1S,3692.24,3893.48,3773.44,3516.92,4387.84,4191.16,3410.86,1962.62,3772.2,2908.67,2826.9,184.9,128.51,123.94,201.72,905.4
C2,909.13,820.21,1051.35,1092.79,1304.73,1044.74,900.56,616.84,761.85,894.76,495.2,21.59,35.59,51.44,38.74,194.76
C3,4722.07,5640.64,5210.18,5239.21,7168.19,7597.2,4798.69,2919.31,7252.85,6950.11,4472.22,1.0,5.33,6.59,55.24,7.75
C3AR1,16.67,18.97,17.99,12.9,17.47,30.06,24.56,43.27,47.09,32.75,25.1,5.27,16.14,6.59,34.61,7.75
C4B,9015.34,9032.47,14570.98,12313.83,10529.01,10209.25,9519.53,8274.13,4651.57,4893.21,2423.15,321.88,364.06,196.44,1243.58,699.69
C4BPA,2180.11,2243.63,2448.05,2511.82,3207.31,2398.36,1953.09,1267.78,1778.32,1495.4,984.03,1.0,20.46,6.59,2.06,18.7
C5,1261.96,1241.92,1267.2,1437.05,1847.08,1258.2,1298.03,720.99,837.72,1056.95,525.48,63.73,20.46,58.03,7.79,18.7
C6,3838.51,2666.64,3609.35,2973.9,4054.59,2456.05,3528.55,1461.21,1616.82,2579.19,751.87,32.12,20.46,18.48,775.26,213.46
C7,351.71,235.66,335.42,246.5,163.41,268.77,435.36,1040.14,1219.28,514.63,2323.65,158.56,20.46,282.13,969.19,643.59
C8A,954.59,908.44,1079.68,1379.67,1440.87,1254.6,1046.0,385.48,820.42,980.32,423.1,5.27,2.16,6.59,2.06,18.7
C8B,1004.0,1340.53,1959.69,1905.27,2156.37,1235.84,1037.12,657.76,1012.08,1550.74,413.0,5.27,2.16,6.59,2.06,18.7
C8G,714.43,877.95,883.36,792.6,999.8,974.78,755.11,464.34,531.14,609.98,819.65,58.47,7.5,5.3,1.6,18.7
C9,5074.9,3342.67,4230.54,5375.48,6984.14,5021.94,4581.08,1527.42,2160.77,3042.76,1305.6,5.27,2.16,5.3,7.79,18.7
CAMP,1.0,1.0,1.0,1.02,1.09,1.0,1.11,1.0,1.0,1.0,1.44,5.27,2.16,6.59,3.66,101.25
CARD11,1.0,11.83,16.04,15.98,1.09,17.08,1.11,51.46,26.68,14.87,39.52,42.66,83.13,6.59,20.17,63.85
CARD9,12.72,20.26,8.22,19.05,14.21,19.97,10.13,29.88,23.57,17.43,15.01,32.12,22.62,5.3,7.79,18.7
CASP1,48.3,46.86,34.6,47.74,39.25,87.04,42.33,79.72,106.09,79.58,131.81,79.54,48.55,6.59,18.1,7.75
CASP10,1.0,1.0,1.0,1.02,1.09,7.71,1.11,1.0,1.0,1.68,1.44,5.27,2.16,6.59,2.06,18.7
CASP3,45.33,50.11,52.18,44.66,58.86,43.05,42.33,56.66,55.96,54.46,40.97,105.88,74.49,25.08,34.61,7.75
CASP8,54.23,80.6,84.41,101.02,86.08,84.87,70.08,174.2,142.03,87.24,185.17,148.03,197.66,58.03,73.81,119.95
CCL1,1.0,1.0,4.32,1.02,1.09,1.0,1.11,1.0,1.0,1.0,1.44,11.05,2.16,6.59,2.06,18.7
CCL11,1.0,1.0,1.0,1.02,1.09,1.0,1.11,1.0,1.83,1.68,6.36,100.61,117.7,11.89,38.74,7.75
CCL13,1.0,1.0,1.0,1.02,1.09,1.0,1.11,1.0,1.83,3.38,1.44,5.27,39.91,6.59,127.45,26.45
CCL14,481.18,514.63,709.5,447.32,526.06,514.68,440.91,283.56,193.06,263.05,314.95,37.39,42.07,31.67,86.19,1017.61
CCL15,89.81,96.82,69.76,99.99,106.78,67.56,98.95,62.61,114.52,89.37,49.62,1.0,2.16,6.59,2.06,18.7
CCL16,405.08,568.48,439.93,626.62,678.53,424.54,420.93,445.74,526.7,489.94,215.45,1.0,2.16,5.3,1.6,7.75
CCL17,3.82,9.23,6.27,1.63,8.76,13.48,1.0,1.0,6.27,4.23,1.44,1.0,9.66,6.59,5.73,18.7
CCL18,1.0,33.24,16.04,13.93,10.94,37.28,11.24,64.85,86.13,52.76,215.45,1.0,16.14,6.59,820.65,101.25
CCL19,170.85,219.44,196.73,410.43,12.03,571.66,425.37,3188.61,1379.45,1105.47,3595.49,153.29,31.27,6.59,643.22,905.4
