gene,t,p,adj_p
C9,-7.024972872068216,6.006093862742204e-06,0.001423884118273481
ITCH,-6.612149934413546,1.1659846217058954e-05,0.001423884118273481
CFI,-7.0811979948246675,5.496939599089839e-06,0.001423884118273481
MAP2K1,-7.428774707383115,3.208462639880401e-06,0.001423884118273481
ARG1,-6.630104213102635,1.1322820129540087e-05,0.001423884118273481
C4B,-6.47444632407099,1.4622686708841909e-05,0.001423884118273481
TNFSF10,-6.5691788011542585,1.251000862832408e-05,0.001423884118273481
RORC,-6.496380856523749,1.410224158855973e-05,0.001423884118273481
HSD11B1,-6.370886384476695,1.736697224360686e-05,0.001503207930863305
NFKB2,6.213709398079749,2.261111931201611e-05,0.001601278358550959
C6,-6.247856966365107,2.1345134976796663e-05,0.001601278358550959
IL6R,-6.130066859390956,2.6056205137484106e-05,0.0016914819835083432
APOE,-5.887817377347532,3.9506235246837355e-05,0.0023673351736374078
C4BPA,-5.723178176621372,5.266558542139252e-05,0.002735099402884318
C5,-5.7343089806570635,5.16456924944562e-05,0.002735099402884318
IL1RAP,-5.509064197606858,7.697257683282214e-05,0.0036205377870435194
REPS1,-5.494449689819461,7.901045234883161e-05,0.0036205377870435194
C8A,-5.29891151549779,0.00011239136172991131,0.004864048377088939
IL27,-5.209072931127882,0.0001323719620246923,0.005155887920861765
CCL2,5.219171076675329,0.0001299526408685867,0.005155887920861765
C1R,-5.143527875117036,0.0001492570405451695,0.005536725456413668
AMBP,-5.050634681716134,0.00017711079296876857,0.006271332169212306
GUSB,-4.913519783978267,0.00022845893023754188,0.0074153961106268795
F12,-4.91601425351021,0.00022739845657061258,0.0074153961106268795
SOCS1,4.812607717734082,0.00027595094351815473,0.008598631400025702
C2,-4.694172047032388,0.0003449723751913049,0.010335903087462558
CD59,4.667734389483957,0.0003626811522541373,0.010464022874295296
C8G,-4.487749565558367,0.0005110389056565963,0.014217832410946018
RORA,-4.36173189771652,0.0006510889646887095,0.016906610116416823
MARCO,-4.363233936753387,0.00064920577212554,0.016906610116416823
CXCR4,4.338259852187722,0.0006812571999658859,0.017119334153981453
C1S,-4.259830811153165,0.0007928855499911579,0.01930180760759725
C8B,-4.183361121175501,0.0009198326834975578,0.02082718988482979
LBP,-4.18991635834236,0.0009081773209036364,0.02082718988482979
CXCL2,-4.17454324792477,0.0009357530756983859,0.02082718988482979
MR1,4.145451124862466,0.0009903069827697144,0.021429142766044653
ST6GAL1,-4.124946524834361,0.0010307035373830302,0.02170048798976704
MAF,-4.084432473295135,0.0011155481184454148,0.022868736428131003
CDKN1A,4.0326403621820015,0.0012345034371134486,0.02465841480798401
MME,-4.004340328177398,0.0013048964632701304,0.02541285862218579
TRAF3,3.945613396890606,0.0014643266104294192,0.027822205598158966
CFP,-3.9303940662200514,0.001508792782950584,0.027984513759964406
FLT3LG,3.8858867442999028,0.0016468823639688873,0.029835380500738678
RIPK2,3.8140274381679116,0.0018975285315819142,0.033594880138688894
POLR2A,3.7990862283012197,0.0019543319646222338,0.03383165778757156
LAIR2,3.7796337751424254,0.002030881593050507,0.03439253828231185
ITGA6,3.661253196643849,0.0025669639815876764,0.04254606258844255
IL13RA2,-3.5978116160402345,0.002911095302272145,0.044629022197088766
MASP2,-3.576580742249435,0.0030363776334347945,0.044629022197088766
SYK,3.5923555045520827,0.0029427847330558083,0.044629022197088766
CCND3,3.584578771130768,0.002988555225370644,0.044629022197088766
BAX,3.5901674111350843,0.0029555909180278505,0.044629022197088766
FAS,3.585876258790354,0.002980869143182404,0.044629022197088766
SERPING1,-3.5543320297038457,0.003173508648492024,0.04578080068843124
IFI16,3.4933972566666562,0.003581903796349072,0.050732782861016866
IL13RA1,-3.4378563379563025,0.004000081868675065,0.05564399599460492
MASP1,-3.398101173830993,0.004329212208735877,0.059165900186057
POS_F,-3.3840252391434613,0.004452148400135531,0.05979695868457894
DOCK9,3.3486939676553233,0.0047763608321174,0.06198557273535076
HRAS,3.312123396741273,0.0051368664961429,0.06198557273535076
MAP3K1,3.292707681049017,0.0053391956076532295,0.06198557273535076
SBNO2,3.2978993916641204,0.005284325822680737,0.06198557273535076
CCL16,-3.303279171037529,0.005228062881899914,0.06198557273535076
ILF3,3.34699831165681,0.0047925022663154885,0.06198557273535076
AMICA1,3.32794495445638,0.004977674317146588,0.06198557273535076
THBS1,3.2860114865483974,0.005410807376128179,0.06198557273535076
MAPK1,3.339956318514552,0.0048601234495312135,0.06198557273535076
CTLA4,3.288475400367033,0.0053843463897371565,0.06198557273535076
ICAM3,-3.233195215378508,0.006010309167652684,0.0645360229397717
CEBPB,-3.248100107071372,0.0058347144869442535,0.0645360229397717
CD28,3.2418675091312634,0.0059075096405204735,0.0645360229397717
LGALS3,3.2300805668457397,0.0060476632536628164,0.0645360229397717
IRF2,3.2308002536417697,0.0060390115172278686,0.0645360229397717
SPN,3.1974213082833822,0.006453552697699321,0.06793672366902392
VEGFC,3.1765060098221833,0.006727621010950202,0.06895811536223957
EP300,3.178657542773845,0.006698901693970293,0.06895811536223957
RUNX1,3.125972209312975,0.00743850181153928,0.07029822199191017
TMUB2,3.153474887433349,0.007042823935137295,0.07029822199191017
TNFAIP3,3.104624152906168,0.007760779321314858,0.07029822199191017
TOLLIP,-3.1209808087565705,0.007512643318850035,0.07029822199191017
ICOS,3.1398620641677524,0.0072359855393455234,0.07029822199191017
ITGB1,3.105271935121208,0.0077507993829139124,0.07029822199191017
CFB,-3.1501358951473115,0.007089723613597319,0.07029822199191017
CYLD,3.1106577636554453,0.00766831496581422,0.07029822199191017
TNFRSF11B,3.1232084139499108,0.007479464614304614,0.07029822199191017
TNFRSF12A,3.108994799845335,0.007693690043913089,0.07029822199191017
CD1D,-3.0901781185111394,0.007986679884536765,0.07151291528797862
BATF,3.0742223850263573,0.008243768275749923,0.07297608507737716
IL34,3.06217188751759,0.008443350776383985,0.073874175714026
TGFB2,3.0567391840975984,0.008534885512531887,0.073874175714026
PAX5,3.045274195697043,0.008731292459515422,0.07474370138420346
CARD11,3.0390008168637506,0.008840647586834444,0.07485722250156557
CCL15,-3.0232434060040343,0.009121333380996816,0.07493990803780301
SPA17,3.001465190070609,0.009523813730093065,0.07493990803780301
MAPK3,3.0081849897923347,0.009397790219245927,0.07493990803780301
PSEN1,3.010805566497079,0.0093490913105394,0.07493990803780301
SDHA,-3.017733303342341,0.009221548377999914,0.07493990803780301
LAG3,-3.0043970427603583,0.009468625721734491,0.07493990803780301
CD200,3.009731337888163,0.00936902378645733,0.07493990803780301
MX1,2.981929126354854,0.00989974476196559,0.07711901169571195
SLAMF1,2.9761380106950837,0.010013969176016485,0.07723645532788953
PNMA1,2.965620122457743,0.01022475744703778,0.0780890789337493
EIF2B4,2.9417734615335256,0.010718993404670819,0.080474695510994
CD47,2.940608405945181,0.010743733418669289,0.080474695510994
