Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hepatitis B	16/162	6.248277e-22	1.012221e-19	0	0	6.383239e+01	3.116589e+03	MAP2K4;MAP3K1;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFATC4;NFKBIA;MAPK11;MAPK8;MAVS;MAPK1;MAP3K7;MYD88;MAPK3
KEGG_2021_Human	Yersinia infection	14/137	1.926852e-19	1.145900e-17	0	0	6.268699e+01	2.701385e+03	MAP2K4;NFATC3;NFATC2;NFATC1;MEFV;MAPK14;NFKB1;NFKBIA;MAPK11;MAPK8;MAPK1;MAP3K7;MYD88;MAPK3
KEGG_2021_Human	MAPK signaling pathway	17/294	2.796669e-19	1.145900e-17	0	0	3.658692e+01	1.563018e+03	MAP2K4;MAP4K2;MEF2C;MAP3K1;NFATC3;NFATC1;MAPK14;NFKB1;NFKB2;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAP3K5;MAPK3
KEGG_2021_Human	C-type lectin receptor signaling pathway	13/104	2.829383e-19	1.145900e-17	0	0	7.667568e+01	3.274746e+03	NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFATC4;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAPK3
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	15/193	5.652706e-19	1.831477e-17	0	0	4.760514e+01	2.000224e+03	MAP2K4;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFATC4;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MICA;MAPK3;MICB
KEGG_2021_Human	Lipid and atherosclerosis	15/215	2.917909e-18	7.878354e-17	0	0	4.232143e+01	1.708756e+03	MAP2K4;NCF4;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFKBIA;MAPK11;MAPK8;MAPK1;MAP3K7;MYD88;MAP3K5;MAPK3
KEGG_2021_Human	Osteoclast differentiation	12/127	2.499938e-16	5.785571e-15	0	0	5.446682e+01	1.956726e+03	NFKBIA;MAPK11;MAPK8;NCF4;MAPK1;NFATC2;NFATC1;MAPK14;MAP3K7;NFKB1;MAPK3;NFKB2
KEGG_2021_Human	Coronavirus disease	14/232	3.487543e-16	7.062275e-15	0	0	3.519980e+01	1.252837e+03	MX1;MAPK14;NFKB1;NFKBIA;MAPK11;MAPK8;MAVS;MAPK1;MASP2;MASP1;MAP3K7;MYD88;MBL2;MAPK3
KEGG_2021_Human	T cell receptor signaling pathway	11/104	1.377497e-15	2.479494e-14	0	0	6.022250e+01	2.060724e+03	NFKBIA;MAPK11;MAPK8;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;MAP3K7;NFKB1;MAPK3
KEGG_2021_Human	Human immunodeficiency virus 1 infection	13/212	3.700207e-15	5.994336e-14	0	0	3.487206e+01	1.158812e+03	NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFATC4;NFKBIA;MAPK11;MAPK8;MAPK1;MAP3K7;MYD88;MAPK3
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	10/89	1.605634e-14	2.364661e-13	0	0	6.288291e+01	1.997329e+03	NFKBIA;MAPK11;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Th1 and Th2 cell differentiation	10/92	2.264415e-14	3.056960e-13	0	0	6.057317e+01	1.903141e+03	NFKBIA;MAPK11;MAPK8;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;NFKB1;MAPK3
KEGG_2021_Human	Toll-like receptor signaling pathway	10/104	8.019352e-14	9.993346e-13	0	0	5.280851e+01	1.592405e+03	NFKBIA;MAP2K4;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Th17 cell differentiation	10/107	1.073683e-13	1.242405e-12	0	0	5.116753e+01	1.527991e+03	NFKBIA;MAPK11;MAPK8;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;NFKB1;MAPK3
KEGG_2021_Human	TNF signaling pathway	10/112	1.713631e-13	1.850722e-12	0	0	4.864706e+01	1.429980e+03	NFKBIA;MAP2K4;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MAP3K5;MAPK3
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	12/219	1.848064e-13	1.871165e-12	0	0	3.011899e+01	8.830728e+02	NFKBIA;MAP2K4;MAPK8;MAP3K1;NFATC3;MAPK1;NFATC2;NFATC1;NFKB1;MAPK3;NFATC4;NFKB2
KEGG_2021_Human	Leishmaniasis	9/77	2.529691e-13	2.410647e-12	0	0	6.418149e+01	1.861617e+03	NFKBIA;MAPK11;NCF4;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Neurotrophin signaling pathway	10/119	3.180724e-13	2.862652e-12	0	0	4.550688e+01	1.309529e+03	NFKBIA;MAPK11;MAPK8;MAP3K1;MAPKAPK2;MAPK1;MAPK14;NFKB1;MAP3K5;MAPK3
KEGG_2021_Human	NOD-like receptor signaling pathway	11/181	6.750959e-13	5.756081e-12	0	0	3.281750e+01	9.196749e+02	NFKBIA;MAPK11;MAPK8;MAVS;MAPK1;MEFV;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Chagas disease	9/102	3.429370e-12	2.777789e-11	0	0	4.686939e+01	1.237288e+03	NFKBIA;MAP2K4;MAPK11;MAPK8;MAPK1;MAPK14;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Cellular senescence	10/156	4.896031e-12	3.776939e-11	0	0	3.391096e+01	8.831294e+02	MAPK11;MAPKAPK2;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;NFKB1;MAPK3;NFATC4
KEGG_2021_Human	RIG-I-like receptor signaling pathway	8/70	7.116282e-12	5.240172e-11	0	0	6.109985e+01	1.568350e+03	NFKBIA;MAPK11;MAPK8;MAVS;MAP3K1;MAPK14;MAP3K7;NFKB1
KEGG_2021_Human	Toxoplasmosis	9/112	8.076030e-12	5.688334e-11	0	0	4.229766e+01	1.080372e+03	NFKBIA;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Epstein-Barr virus infection	10/202	6.385224e-11	4.310026e-10	0	0	2.572656e+01	6.039169e+02	NFKBIA;MAP2K4;MAPK11;MAPK8;MAVS;MAPK14;MAP3K7;NFKB1;MYD88;NFKB2
KEGG_2021_Human	IL-17 signaling pathway	8/94	8.022883e-11	5.198828e-10	0	0	4.399557e+01	1.022727e+03	NFKBIA;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MAPK3
KEGG_2021_Human	Human cytomegalovirus infection	10/225	1.842438e-10	1.147981e-09	0	0	2.294767e+01	5.143666e+02	NFKBIA;MAPK11;NFATC3;MAPK1;NFATC2;NFATC1;MAPK14;NFKB1;MAPK3;NFATC4
KEGG_2021_Human	Fc epsilon RI signaling pathway	7/68	3.401527e-10	2.040916e-09	0	0	5.307777e+01	1.157182e+03	MAP2K4;MAPK11;MAPK8;MAPK1;MS4A2;MAPK14;MAPK3
KEGG_2021_Human	Salmonella infection	10/249	4.955249e-10	2.866965e-09	0	0	2.061820e+01	4.417533e+02	NFKBIA;MAP2K4;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Sphingolipid signaling pathway	8/119	5.393977e-10	3.013187e-09	0	0	3.404376e+01	7.265131e+02	MAPK11;MAPK8;MAPK1;MS4A2;MAPK14;NFKB1;MAP3K5;MAPK3
KEGG_2021_Human	Pertussis	7/76	7.556062e-10	4.080273e-09	0	0	4.690495e+01	9.851683e+02	MAPK11;MAPK8;MAPK1;MAPK14;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Relaxin signaling pathway	8/129	1.028906e-09	5.376865e-09	0	0	3.121448e+01	6.459765e+02	NFKBIA;MAP2K4;MAPK11;MAPK8;MAPK1;MAPK14;NFKB1;MAPK3
KEGG_2021_Human	B cell receptor signaling pathway	7/81	1.190553e-09	6.027177e-09	0	0	4.372470e+01	8.984922e+02	NFKBIA;NFATC3;MAPK1;NFATC2;NFATC1;NFKB1;MAPK3
KEGG_2021_Human	Pathogenic Escherichia coli infection	9/197	1.284556e-09	6.306000e-09	0	0	2.307447e+01	4.724002e+02	NFKBIA;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Fluid shear stress and atherosclerosis	8/139	1.865042e-09	8.886375e-09	0	0	2.881716e+01	5.792244e+02	MAP2K4;MAPK11;MEF2C;MAPK8;MAPK14;MAP3K7;NFKB1;MAP3K5
KEGG_2021_Human	GnRH signaling pathway	7/93	3.171126e-09	1.467778e-08	0	0	3.760087e+01	7.358181e+02	MAP2K4;MAPK11;MAPK8;MAP3K1;MAPK1;MAPK14;MAPK3
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	7/100	5.288019e-09	2.379608e-08	0	0	3.475844e+01	6.624202e+02	MAPK11;MAPK8;MAPK1;NFATC1;MAPK14;NFKB1;MAPK3
KEGG_2021_Human	VEGF signaling pathway	6/59	7.292081e-09	3.192749e-08	0	0	5.119297e+01	9.591759e+02	MAPK11;MAPKAPK2;MAPK1;NFATC2;MAPK14;MAPK3
KEGG_2021_Human	Shigellosis	9/246	8.988427e-09	3.831908e-08	0	0	1.825841e+01	3.382796e+02	NFKBIA;MAPK11;MAPK8;MAPK1;MAPK14;MAP3K7;NFKB1;MYD88;MAPK3
KEGG_2021_Human	Tuberculosis	8/180	1.432070e-08	5.948597e-08	0	0	2.190255e+01	3.955942e+02	MAPK11;MAPK8;MRC1;MAPK1;MAPK14;NFKB1;MYD88;MAPK3
