gene,importance
ARG1,1.7308517
MME,0.0
MNX1,0.0
MPPED1,0.0
MR1,0.0
MRC1,0.0
MS4A1,0.0
MS4A2,0.0
MSR1,0.0
MST1R,0.0
MUC1,0.0
NLRC5,0.0
MYD88,0.0
NCAM1,0.0
NCF4,0.0
NCR1,0.0
NEFL,0.0
NFATC1,0.0
NFATC2,0.0
NFATC3,0.0
NFATC4,0.0
NFKB1,0.0
NFKB2,0.0
NFKBIA,0.0
MX1,0.0
MAP2K4,0.0
MAP3K1,0.0
MAP3K5,0.0
MAP3K7,0.0
MAP4K2,0.0
MAPK1,0.0
MAPK11,0.0
MAPK14,0.0
MAPK3,0.0
MAPK8,0.0
MAPKAPK2,0.0
MIF,0.0
MASP1,0.0
MASP2,0.0
MAVS,0.0
MBL2,0.0
MCAM,0.0
MEF2C,0.0
MEFV,0.0
MERTK,0.0
MFGE8,0.0
MICA,0.0
MICB,0.0
MARCO,0.0
PMCH,0.0
PNMA1,0.0
POU2AF1,0.0
POU2F2,0.0
PPARG,0.0
PPBP,0.0
PRAME,0.0
PRF1,0.0
PRG2,0.0
PRKCD,0.0
PRKCE,0.0
NLRP3,0.0
PSEN1,0.0
PSEN2,0.0
PSMB10,0.0
PSMB7,0.0
PSMB8,0.0
PSMB9,0.0
PSMD7,0.0
PTGDR2,0.0
PTGS2,0.0
PTPRC,0.0
PVR,0.0
PRM1,0.0
PYCARD,0.0
NOD1,0.0
NOD2,0.0
NOS2A,0.0
NOTCH1,0.0
NRP1,0.0
NT5E,0.0
NUP107,0.0
OAS3,0.0
OSM,0.0
PASD1,0.0
PLAUR,0.0
PBK,0.0
PDCD1,0.0
PDCD1LG2,0.0
PDGFC,0.0
PDGFRB,0.0
PECAM1,0.0
PIK3CD,0.0
PIK3CG,0.0
PIN1,0.0
PLA2G1B,0.0
PLA2G6,0.0
PLAU,0.0
PAX5,0.0
IRF8,0.0
IRGM,0.0
ISG15,0.0
ISG20,0.0
ITCH,0.0
ITGA1,0.0
ITGA2,0.0
ITGA2B,0.0
ITGA4,0.0
ITGA5,0.0
ITGA6,0.0
MAP2K2,0.0
ITGAL,0.0
ITGAM,0.0
ITGAX,0.0
ITGB1,0.0
ITGB2,0.0
ITGB3,0.0
ITGB4,0.0
ITK,0.0
JAK1,0.0
JAK2,0.0
JAK3,0.0
ITGAE,0.0
