Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,15/96,1.0324078752941029e-23,2.771300619695649e-21,0,0,105.12698412698413,5564.115109220018,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,15/103,3.185403011144424e-23,2.771300619695649e-21,0,0,96.73051948051948,5010.725869801817,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,15/102,2.7259799679135504e-23,2.771300619695649e-21,0,0,97.84729064039408,5083.815393540641,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,15/101,2.3289195793962705e-23,2.771300619695649e-21,0,0,98.99003322259136,5158.7718060241705,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,15/106,5.033615771655237e-23,3.5033965770720435e-21,0,0,93.52747252747253,4802.010817184942,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,15/112,1.2067098019530083e-22,6.99891685132745e-21,0,0,87.71575846833579,4426.924382813001,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
KEGG_2021_Human,Hepatitis B,16/162,6.2482772969389e-22,1.0122209221041018e-19,0,0,63.83239323126511,3116.58891238218,MAP2K4;MAP3K1;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFATC4;NFKBIA;MAPK11;MAPK8;MAVS;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,15/140,4.0143888393584905e-21,1.9957247372810784e-19,0,0,67.97142857142858,3192.2374848227746,MAP2K4;MEF2C;MAP3K1;NLRC5;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAPK8;MAPKAPK2;MAPK1;MAP3K7;MYD88;MAPK3
Reactome_2022,Innate Immune System R-HSA-168249,26/1035,9.906088707469504e-21,3.8303543002215414e-19,0,0,20.336389164188965,936.717214775926,NCF4;NLRC5;MEFV;MUC1;MAPK8;MAPK1;MAP3K7;MBL2;MAPK3;MAP2K4;MEF2C;MAP3K1;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFKB2;NFKBIA;MAPK11;MAVS;MAPKAPK2;MASP2;MASP1;MS4A2;MYD88
Reactome_2022,Immune System R-HSA-168256,32/1943,9.830019311681078e-21,3.8303543002215414e-19,0,0,16.781440781440782,773.1016119270652,NCF4;NLRC5;MEFV;MUC1;MAPK8;MRC1;MAPK1;NCAM1;MAP3K7;MICA;MBL2;MAPK3;MICB;MAP2K4;MEF2C;MAP3K1;MX1;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFKB2;NCR1;NFKBIA;MAPK11;MAVS;MAPKAPK2;MASP2;MASP1;MS4A2;MYD88
